id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,original_language,original_title,overview,popularity,genres,production_companies,production_countries,spoken_languages,directors,writers,averageRating,numVotes																																
603,The Matrix,8.206,23815,Released,1999-03-30,463517383,136,63000000,en,The Matrix,Set in the 22nd century| The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.,78.564,Action,Village Roadshow Pictures,United States of America,English,Lana Wachowski,Lilly Wachowski,8.7,2105233																																
597,Titanic,7.9,23637,Released,1997-11-18,2264162353,194,200000000,en,Titanic,101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic| 84 years later. A young Rose boards the ship with her mother and fiancÃ©. Meanwhile| Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its deathâ€”on its first and last voyageâ€”on April 15| 1912.,102.348,Drama,Paramount,United States of America,English,James Cameron,James Cameron,7.9,1313128																																
475557,Joker,8.168,23425,Released,2019-10-01,1074458282,122,55000000,en,Joker,During the 1980s| a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.,54.522,Crime,Warner Bros. Pictures,Canada,English,Todd Phillips,Todd Phillips,8.4,1561299																																
120,The Lord of the Rings: The Fellowship of the Ring,8.402,23323,Released,2001-12-18,871368364,179,93000000,en,The Lord of the Rings: The Fellowship of the Ring,Young hobbit Frodo Baggins| after inheriting a mysterious ring from his uncle Bilbo| must leave his home in order to keep it from falling into the hands of its evil creator. Along the way| a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom| the only place where it can be destroyed.,87.037,Adventure,New Line Cinema,New Zealand,English,Peter Jackson,J.R.R. Tolkien,8.9,2059925																																
122,The Lord of the Rings: The Return of the King,8.474,22334,Released,2003-12-01,1118888979,201,94000000,en,The Lord of the Rings: The Return of the King,Aragorn is revealed as the heir to the ancient kings as he| Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile| Frodo and Sam take the ring closer to the heart of Mordor| the dark lord's realm.,99.276,Adventure,New Line Cinema,New Zealand,English,Peter Jackson,J.R.R. Tolkien,9.0,2030241																																
11324,Shutter Island,8.2,22318,Released,2010-02-14,294800000,138,80000000,en,Shutter Island,World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane| but his efforts are compromised by troubling visions and a mysterious doctor.,56.595,Drama,Phoenix Pictures,United States of America,English,Martin Scorsese,Laeta Kalogridis,8.2,1504842																																
106646,The Wolf of Wall Street,8.035,22222,Released,2013-12-25,392000000,180,100000000,en,The Wolf of Wall Street,A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street| corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.,97.444,Crime,EMJAG Productions,United States of America,English,Martin Scorsese,Terence Winter,8.2,1634698																																
99861,Avengers: Age of Ultron,7.276,21754,Released,2015-04-22,1405403694,141,365000000,en,Avengers: Age of Ultron,When Tony Stark tries to jumpstart a dormant peacekeeping program| things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges| it is up to The Avengers to stop him from enacting his terrible plans| and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.,96.565,Action,Marvel Studios,United States of America,English,Joss Whedon,Joss Whedon,7.3,942000																																
271110,Captain America: Civil War,7.4,21541,Released,2016-04-27,1155046416,147,250000000,en,Captain America: Civil War,Following the events of Age of Ultron| the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers| causing two factions to side with Iron Man or Captain America| which causes an epic battle between former allies.,70.741,Adventure,Marvel Studios,United States of America,Romanian,Anthony Russo,Christopher Markus,7.8,870578																																
49026,The Dark Knight Rises,7.777,21335,Released,2012-07-17,1081041287,165,250000000,en,The Dark Knight Rises,Following the death of District Attorney Harvey Dent| Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later| Batman encounters the mysterious Selina Kyle and the villainous Bane| a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.,76.914,Action,Syncopy,United States of America,English,Christopher Nolan,Jonathan Nolan,8.4,1872380																																
