Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
27/04/2020;Congo (Brazzaville);200;6;19;3.00;9.50;87.50
27/04/2020;Suisse;29164;1665;22200;5.71;76.12;18.17
27/04/2020;Côte d'Ivoire;1164;14;499;1.20;42.87;55.93
27/04/2020;Chili;13813;198;7327;1.43;53.04;45.52
27/04/2020;Cameroun;1705;58;805;3.40;47.21;49.38
27/04/2020;Chine;82836;4633;77555;5.59;93.62;0.78
27/04/2020;Colombie;5597;253;1210;4.52;21.62;73.86
27/04/2020;Costa Rica;697;6;287;0.86;41.18;57.96
27/04/2020;Cuba;1389;56;525;4.03;37.80;58.17
27/04/2020;Cap-vert;109;1;1;0.92;0.92;98.17
27/04/2020;Chypre;822;15;148;1.82;18.00;80.17
27/04/2020;République Tchèque;7445;223;2826;3.00;37.96;59.05
27/04/2020;Djibouti;1035;2;477;0.19;46.09;53.72
27/04/2020;Allemagne;158758;6126;114500;3.86;72.12;24.02
27/04/2020;Danemark;8709;427;5970;4.90;68.55;26.55
27/04/2020;Dominique;16;0;13;0.00;81.25;18.75
27/04/2020;République Dominicaine;6293;282;993;4.48;15.78;79.74
27/04/2020;Algérie;3517;432;1558;12.28;44.30;43.42
27/04/2020;Équateur;23240;663;1557;2.85;6.70;90.45
27/04/2020;Estonie;1647;50;233;3.04;14.15;82.82
27/04/2020;Égypte;4782;337;1236;7.05;25.85;67.11
27/04/2020;Sahara Occidental;6;0;5;0.00;83.33;16.67
27/04/2020;Érythrée;39;0;13;0.00;33.33;66.67
27/04/2020;Espagne;229422;23521;120832;10.25;52.67;37.08
27/04/2020;Éthiopie;124;3;50;2.42;40.32;57.26
27/04/2020;Finlande;4695;193;2500;4.11;53.25;42.64
27/04/2020;Fidji;18;0;12;0.00;66.67;33.33
27/04/2020;Îles Féroé;187;0;178;0.00;95.19;4.81
27/04/2020;France;165842;23293;45513;14.05;27.44;58.51
27/04/2020;Royaume-Uni;158207;21157;676;13.37;0.43;86.20
27/04/2020;Gabon;211;3;43;1.42;20.38;78.20
27/04/2020;Grenade;18;0;7;0.00;38.89;61.11
27/04/2020;Géorgie;497;6;156;1.21;31.39;67.40
27/04/2020;Guyane Française;111;1;87;0.90;78.38;20.72
27/04/2020;Ghana;1550;11;155;0.71;10.00;89.29
27/04/2020;Gibraltar;141;0;131;0.00;92.91;7.09
27/04/2020;Guinée;1163;7;246;0.60;21.15;78.25
27/04/2020;Gambie;10;1;8;10.00;80.00;10.00
27/04/2020;Guadeloupe;149;12;82;8.05;55.03;36.91
27/04/2020;Guinée Équatoriale;258;1;9;0.39;3.49;96.12
27/04/2020;Grèce;2534;136;577;5.37;22.77;71.86
27/04/2020;Guatemala;530;15;49;2.83;9.25;87.92
27/04/2020;Guinée-Bissau;73;1;18;1.37;24.66;73.97
27/04/2020;Guyana;74;8;15;10.81;20.27;68.92
27/04/2020;Hong-Kong;1037;4;787;0.39;75.89;23.72
27/04/2020;Honduras;661;61;79;9.23;11.95;78.82
27/04/2020;Croatie;2039;59;1166;2.89;57.18;39.92
27/04/2020;Haïti;76;6;8;7.89;10.53;81.58
27/04/2020;Hongrie;2583;280;498;10.84;19.28;69.88
27/04/2020;Indonésie;9096;765;1151;8.41;12.65;78.94
27/04/2020;Irlande;19648;1102;9233;5.61;46.99;47.40
27/04/2020;Israël;15555;204;7200;1.31;46.29;52.40
27/04/2020;Inde;29451;939;7137;3.19;24.23;72.58
27/04/2020;Iraq;1847;88;1286;4.76;69.63;25.61
27/04/2020;Iran;91472;5806;70933;6.35;77.55;16.11
27/04/2020;Islande;1792;10;1624;0.56;90.63;8.82
27/04/2020;Jamaïque;364;7;29;1.92;7.97;90.11
27/04/2020;Italie;199414;26977;66624;13.53;33.41;53.06
27/04/2020;Jordanie;449;7;342;1.56;76.17;22.27
27/04/2020;Japon;14153;385;1899;2.72;13.42;83.86
27/04/2020;Kirghizistan;695;8;395;1.15;56.83;42.01
27/04/2020;Kenya;363;14;114;3.86;31.40;64.74
27/04/2020;Cambodge;122;0;119;0.00;97.54;2.46
27/04/2020;Saint-Kitts-et-Nevis;15;0;2;0.00;13.33;86.67
27/04/2020;Corée du Sud;10752;244;8854;2.27;82.35;15.38
27/04/2020;Koweït;3288;22;1012;0.67;30.78;68.55
27/04/2020;Kazakhstan;2835;25;720;0.88;25.40;73.72
27/04/2020;Laos;19;0;7;0.00;36.84;63.16
27/04/2020;Liban;710;24;145;3.38;20.42;76.20
27/04/2020;Liechtenstein;82;1;55;1.22;67.07;31.71
27/04/2020;Sainte-Lucie;15;0;15;0.00;100.00;0.00
27/04/2020;Sri Lanka;588;7;126;1.19;21.43;77.38
27/04/2020;Libéria;124;12;25;9.68;20.16;70.16
27/04/2020;Lituanie;1449;41;474;2.83;32.71;64.46
27/04/2020;Luxembourg;3729;88;3123;2.36;83.75;13.89
27/04/2020;Lettonie;818;13;267;1.59;32.64;65.77
27/04/2020;Libye;61;2;18;3.28;29.51;67.21
27/04/2020;Maroc;4120;162;695;3.93;16.87;79.20
27/04/2020;Monaco;95;4;42;4.21;44.21;51.58
27/04/2020;Moldavie;3481;102;925;2.93;26.57;70.50
27/04/2020;Montenegro;321;7;189;2.18;58.88;38.94
27/04/2020;Saint Martin;38;3;24;7.89;63.16;28.95
27/04/2020;Madagascar;128;0;75;0.00;58.59;41.41
27/04/2020;Macédoine;1399;65;553;4.65;39.53;55.83
27/04/2020;Birmanie;146;5;16;3.42;10.96;85.62
27/04/2020;Mali;408;23;113;5.64;27.70;66.67
27/04/2020;Mongolie;38;0;10;0.00;26.32;73.68
27/04/2020;Macao;45;0;32;0.00;71.11;28.89
27/04/2020;Martinique;175;14;77;8.00;44.00;48.00
27/04/2020;Mauritanie;7;1;6;14.29;85.71;0.00
27/04/2020;Malte;450;4;286;0.89;63.56;35.56
27/04/2020;Maurice;334;10;302;2.99;90.42;6.59
27/04/2020;Mexique;15529;1434;9086;9.23;58.51;32.26
27/04/2020;Malawi;36;3;4;8.33;11.11;80.56
27/04/2020;Maldives;226;0;17;0.00;7.52;92.48
27/04/2020;Malaisie;5820;99;3957;1.70;67.99;30.31
27/04/2020;Mozambique;76;0;12;0.00;15.79;84.21
27/04/2020;Namibie;16;0;8;0.00;50.00;50.00
27/04/2020;Nouvelle-Calédonie;18;0;17;0.00;94.44;5.56
27/04/2020;Niger;701;29;385;4.14;54.92;40.94
27/04/2020;Nigéria;1337;40;255;2.99;19.07;77.94
27/04/2020;Nicaragua;13;3;7;23.08;53.85;23.08
27/04/2020;Norvège;7599;205;32;2.70;0.42;96.88
27/04/2020;Pays-Bas;38440;4534;117;11.80;0.30;87.90
27/04/2020;Népal;52;0;16;0.00;30.77;69.23
27/04/2020;Nouvelle-Zélande;1472;19;1214;1.29;82.47;16.24
27/04/2020;Oman;2049;10;364;0.49;17.76;81.75
27/04/2020;Panama;6021;167;455;2.77;7.56;89.67
27/04/2020;Pérou;28699;782;8425;2.72;29.36;67.92
27/04/2020;Polynésie Française;57;0;43;0.00;75.44;24.56
27/04/2020;Papouasie-Nouvelle-Guinée;8;0;0;0.00;0.00;100.00
27/04/2020;Philippines;7777;511;932;6.57;11.98;81.45
27/04/2020;Pakistan;13915;292;3029;2.10;21.77;76.13
27/04/2020;Pologne;11902;562;2466;4.72;20.72;74.56
27/04/2020;Palestine;342;2;83;0.58;24.27;75.15
27/04/2020;Portugal;24027;928;1357;3.86;5.65;90.49
27/04/2020;Paraguay;228;9;93;3.95;40.79;55.26
27/04/2020;Qatar;11244;10;1066;0.09;9.48;90.43
27/04/2020;Réunion;418;0;300;0.00;71.77;28.23
27/04/2020;Roumanie;11339;641;3141;5.65;27.70;66.65
27/04/2020;Serbie;6630;125;870;1.89;13.12;84.99
27/04/2020;Fédération de Russie;87147;794;7346;0.91;8.43;90.66
27/04/2020;Rwanda;207;0;93;0.00;44.93;55.07
27/04/2020;Arabie Saoudite;18811;144;2531;0.77;13.45;85.78
27/04/2020;Seychelles;11;0;6;0.00;54.55;45.45
27/04/2020;Soudan;275;22;21;8.00;7.64;84.36
27/04/2020;Suède;18926;2274;1005;12.02;5.31;82.67
27/04/2020;Singapour;14423;14;1095;0.10;7.59;92.31
27/04/2020;Slovaquie;1381;18;403;1.30;29.18;69.51
27/04/2020;Slovénie;1402;83;221;5.92;15.76;78.32
27/04/2020;Sierra Leone;93;4;10;4.30;10.75;84.95
27/04/2020;Saint-Marin;538;41;64;7.62;11.90;80.48
27/04/2020;Sénégal;736;9;284;1.22;38.59;60.19
27/04/2020;Somalie;480;26;10;5.42;2.08;92.50
27/04/2020;Suriname;10;1;7;10.00;70.00;20.00
27/04/2020;Soudan du sud;6;0;0;0.00;0.00;100.00
27/04/2020;Sao Tomé-et-Principe;4;0;0;0.00;0.00;100.00
27/04/2020;El Salvador;323;8;89;2.48;27.55;69.97
27/04/2020;Syrie;43;3;19;6.98;44.19;48.84
27/04/2020;Eswatini;65;1;10;1.54;15.38;83.08
27/04/2020;Tchad;46;0;15;0.00;32.61;67.39
27/04/2020;Togo;98;6;62;6.12;63.27;30.61
27/04/2020;Thaïlande;2931;52;2609;1.77;89.01;9.21
27/04/2020;Timor-Leste;24;0;2;0.00;8.33;91.67
27/04/2020;Tunisie;967;39;279;4.03;28.85;67.11
27/04/2020;Turquie;112261;2900;33791;2.58;30.10;67.32
27/04/2020;Trinité-et-Tobago;116;8;59;6.90;50.86;42.24
27/04/2020;Taïwan;429;6;290;1.40;67.60;31.00
27/04/2020;Tanzanie;299;10;48;3.34;16.05;80.60
27/04/2020;Ukraine;9009;220;864;2.44;9.59;87.97
