"id","title","vote_average","vote_count","status","release_date","revenue","runtime","budget","imdb_id","original_language","original_title","overview","popularity","tagline","genres","production_companies","production_countries","spoken_languages","cast","director","director_of_photography","writers","producers","music_composer","imdb_rating","imdb_votes","poster_path"
"239","Some Like It Hot","8.1","3439.0","Released","1959-03-19","25000000.0","122.0","2883848.0","tt0053291","en","Some Like It Hot","Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.","46.938","The movie too HOT for words!","Comedy, Romance, Crime","The Mirisch Company","United States of America","English","Alex Ball, Billy Wayne, Mike Mazurki, Bobby Gilbert, Brandon Beach, Marilyn Monroe, Jack Perry, Danny Richards Jr., Edward G. Robinson Jr., Scott Seaton, Sam Bagley, Paul Cristo, Pat O’Brien, Arthur Tovey, Willie Bloom, Joseph Glick, James J. Casino, Ralph Volkie, Tito Vuolo, Mary Foley, King Lockwood, Stuart Hall, Hank Mann, Jack Lemmon, Nehemiah Persoff, William H. O'Brien, Fred Sherman, Cosmo Sardo, Steve Carruthers, Carl Sklover, Robert Cole, Carl M. Leviness, Helen Perry, William Hoehne Jr., Bert Stevens, John Roy, Duke Fishman, Joe Gray, Pat Comiskey, Tiger Joe Marsh, Phil Bloom, Dave Barry, Sam Harris, Marian Collier, Frank McLure, Georgia Joan Hannan, Noble 'Kid' Chissell, John Indrisano, Billy Gray, Joseph La Cava, George Lake, Sid Troy, Beverly Wills, Laurie Mitchell, Colleen O'Sullivan, Grace Lee Whitney, Joe Palma, Paul Frees, Beulah Christian, Jack Mather, Edwin Rochelle, Franklyn Farnum, Tony Curtis, Joe E. Brown, Joan Shawlee, Shep Houghton, Ted Christy, Barbara Drew, James Dime, Al Breneman, Harold 'Tommy' Hart, Tipp McClure, Jack Gordon, Harry Wilson, Bing Conley, Tom Kennedy, Sandra Warner, Sammy Shack, George E. Stone, George Raft, George Ford","Billy Wilder","Charles Lang","Robert Thoeren, I. A. L. Diamond, Michael Logan, Billy Wilder","Billy Wilder","Adolph Deutsch","8.2","288695.0","/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg"
"240","The Godfather Part II","8.6","12423.0","Released","1974-12-20","102600000.0","202.0","13000000.0","tt0071562","en","The Godfather Part II","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","90.49","The rise and fall of the Corleone empire.","Drama, Crime","Paramount Pictures, The Coppola Company, American Zoetrope","United States of America","English, Italiano, Latin, Español","Vincent Coppola, Dominic Chianese, Bruno Kirby, Venancia Grangerard, Sofia Coppola, Joseph Medaglia, Livio Giorgi, John Cazale, Talia Shire, G. D. Spradlin, Leopoldo Trieste, Phil Feldman, Andrea Maugeri, Joseph Della Sorte, Robert Duvall, Richard Bright, Jay Rasumny, Teresa Tirelli, Sho Kosugi, Diane Keaton, Tere Livrano, Joe Lo Grippo, Ivonne Coll, Al Pacino, Tom Rosqui, Danny Aiello, Robert De Niro, Johnny Naranjo, Tom Dahlgren, Maria Carta, Larry Guardino, Roger Corman, Victor Pujols Faneyte, Filomena Spagnuolo, Lee Strasberg, Elda Maida, Giuseppe Sillato, Tito Alba, Carmine Caridi, Peter Donat, Amerigo Tot, Troy Donahue, Morgana King, John Megna, Nick Discenza, Italia Coppola, Erica Yohn, Carmine Foresta, Julian Voloshin, Peter LaCorte, Harry Dean Stanton, Gastone Moschin, Edward Van Sickle, Ezio Flagello, James Caan, James Gounaris, Fay Spain, Gary Kurtz, Ignazio Pappalardo, Richard Watson, Carmen Argenziano, Roman Coppola, John Aprea, Marianna Hill, Paul B. Brown, David Baker, Saveria Mazzola, Francesca De Sapio, Julie Gregg, Salvatore Po, Kathleen Beller, Joe De Nicola, Richard Matheson, William Bowers, Mario Cotone, Frank Sivero, Gianni Russo, Oreste Baldini, Abe Vigoda, Gabriella Belloni, Michael V. Gazzo, Joe Spinell, Buck Houghton","Francis Ford Coppola","Gordon Willis","Mario Puzo, Francis Ford Coppola","Francis Ford Coppola","Nino Rota","9.0","1396675.0","/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg"
"241","Natural Born Killers","7.1","3371.0","Released","1994-08-26","50283563.0","118.0","34000000.0","tt0110632","en","Natural Born Killers","Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.","17.628","The media made them superstars","Crime, Thriller, Drama","J D Productions, Regency Enterprises, Alcor Films, Ixtlan, New Regency Pictures, Warner Bros. Pictures","United States of America","English, , 日本語","Balthazar Getty, Robert Downey Jr., Lorraine Farris, Tom Sizemore, Arliss Howard, Jared Harris, Natalie Karp, Ed White, Emmanuel Xuereb, Cory Everson, Tommy Lee Jones, Edie McClurg, Jim Carrane, Corinna Laszlo, Pruitt Taylor Vince, Richard Lineback, Keiko Seiko, Douglas Crosby, Maria Pitillo, Mark Harmon, Carl Ciarfalio, James Gammon, Dale Dye, O-Lan Jones, Evan Handler, Salvator Xuereb, Russell Means, Kirk Baltz, Melinda Renna, Matthew Faber, Louis Lombardi, Juliette Lewis, Josh Richman, Terrylene, Joe Grifasi, Phil Neilson, Jeremiah Bitsui, Sean Stone, Robert Swan, Red West, Peter Crombie, Rodney Dangerfield, David Pasquesi, Paul Dillon, Steven Wright, John M. Watson Sr., Saemi Nakamura, Edward Conna, Jamie Harrold, Lanny Flaherty, Marshall Bell, Woody Harrelson, Glen Chin, Everett Quinton","Oliver Stone","Robert Richardson","Oliver Stone, David Veloz, Quentin Tarantino, Richard Rutowski","Don Murphy, Jane Hamsher, Arnon Milchan, Clayton Townsend","Brent Lewis","7.2","256447.0","/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg"
"242","The Godfather Part III","7.419","6174.0","Released","1990-12-25","136766062.0","162.0","54000000.0","tt0099674","en","The Godfather Part III","In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.","51.874","All the power on earth can't change destiny.","Crime, Drama, Thriller","Paramount Pictures, American Zoetrope","United States of America","English, Italiano, Deutsch, Latin","Luigi Laezza, Vittorio Duse, Madelyn Renée Monti, Al Pacino, Frank Tarsia, Gianluca Petrazzi, Jeannie Linero, Talia Shire, Richard Maldone, Gregory Corso, Robert Cicchini, Brett Halsey, Luciano Foti, Diane Keaton, Franco Citti, John Abineri, Jeanne Savarino Pesch, Francesco Paolo Bellante, Frank Ferrara, Andy García, Brian Freilino, Salvatore Billa, James D. Damiano, Anton Coppola, Vito Antuofermo, Michele Russo, Umberto De Luca, Dado Ruspoli, Angelo Boscariol, Donal Donnelly, Tony Devon, Anthony Guidera, Aldo Formisano, Erminio Bianchi Fasani, Marino Masé, Rogerio Miranda, Robert Vento, Sal Borgese, Gabriele Torrei, Angelo Romero, Mario Donatone, Rick Aviles, Remo Remotti, Valeria Sabel, Ida Bernardini, Sergio Smacchi, John Savage, Janet Savarino Smith, Raf Vallone, Al Ruscio, Carmine Coppola, Al Martino, F.X. Vitolo, Mickey Knox, Ludovico Caldarera, Joe Mantegna, Michael Bowen, Catherine Scorsese, Richard Bright, Giuseppe Pianviti, Gia Coppola, Richard Honigman, David L. Thompson, Simonetta Stefanelli, Paco Reconti, Diana Agostini, David Hume Kennerly, Joe Fontana, Enzo Robutti, Omero Capanna, Carlos Miranda, Santo Indelicato, Joe Drago, Michael Boccio, Angelo Ragusa, Willie Brown, Claudio Zucchet, Enrico Cesaretti, Mimmo Cuticchio, Don Costello, R. Emmett Fitzsimmons, George Hamilton, Pietro Torrisi, Tere Livrano, Jessica DiCicco, Marco Stefanelli, Don Novello, Eli Wallach, Ron Jeremy, Carmine Caridi, Bridget Fonda, Frank Albanese, Helmut Berger, Franc D'Ambrosio, Sofia Coppola, Nicky Blair","Francis Ford Coppola","Gordon Willis","Francis Ford Coppola, Mario Puzo","Charles Mulvehill, Nicholas Gage, Gray Frederickson, Fred Fuchs, Fred Roos, Francis Ford Coppola","Carmine Coppola","7.6","432070.0","/lm3pQ2QoQ16pextRsmnUbG2onES.jpg"
"243","High Fidelity","7.129","1940.0","Released","2000-03-17","47100000.0","113.0","30000000.0","tt0146882","en","High Fidelity","When record store owner and compulsive list-compiler Rob Gordon gets dumped by his long-time girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in order to figure out what went wrong. As he examines his failed attempts at romance and happiness, the process finds him being dragged, kicking and screaming, into adulthood.","21.2","A comedy about fear of commitment, hating your job, falling in love and other pop favorites.","Drama, Comedy, Romance, Music","Touchstone Pictures, Working Title Films, Dogstar Films, New Crime Productions","United Kingdom, United States of America","Dansk, English","Jack Black, Chris Rehmann, Drake Bell, Natasha Gregson Wagner, Brian Powell, David Darlow, Erik Gundersen, Alex Désert, Susie Cusack, Chris Bauer, Aaron Himelstein, Leah Gale, Heather Norris, Andrew Micheli, Timothy W. Tiedje, Marilyn Dodds Frank, Polly Noonan, Shannon Stillo, Lisa Bonet, Matthew O'Neill, Alan S. Johnson, Ian Michaels, Duke Doyle, Tim Robbins, Ian Belknap, John Cusack, Michele Graff, Philip Rayburn Smith, Todd Louiso, Catherine Zeta-Jones, Rich Talarico, Bruce Springsteen, Robert A. Villanueva, Joan Cusack, Beverly D'Angelo, Sara Gilbert, Margaret Travolta, Jonathan Herrington, Lili Taylor, James Azrael, Iben Hjejle, Laura Whyte, Susan Yoo, Damian Rogers, Joe Spaulding, Joelle Carter, Daniel Lee Smith, Susan Hegarty, Dick Cusack, Jillian Peterson, Ben Carr, Liam Hayes, Scott A. Martin, K.K. Dodds","Stephen Frears","Seamus McGarvey","John Cusack, Nick Hornby, D.V. DeVincentis, Scott Rosenberg, Steve Pink","Mike Newell, Rudd Simmons, Liza Chasin, Alan Greenspan, Tim Bevan","Howard Shore","7.4","192622.0","/e2LZGB62GMhv3Fo8tDZjY87I81a.jpg"
"244","King Kong","7.6","1455.0","Released","1933-03-15","10000000.0","104.0","672000.0","tt0024216","en","King Kong","Adventurous filmmaker Carl Denham sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to be displayed on Broadway as King Kong, the eighth wonder of the world.","40.964","A Monster of Creation's Dawn Breaks Loose in Our World Today!","Adventure, Fantasy, Horror","RKO Radio Pictures","United States of America","English","Noble Johnson, Everett Brown, Allen Jenkins, James Flavin, John Northpole, Blackie Whiteford, Odel Conley, Victor Wong, Sailor Vincent, Frank Reicher, Bill Williams, Steve Clemente, Merian C. Cooper, Edward Clark, George Magrill, Harry Cornbleth, Jack Perry, Harry Strang, Charlie Hall, Robert Armstrong, Frances Curry, Paul Porcasi, Sam Hardy, Madame Sul-Te-Wan, James Dime, Sandra Shaw, Roy Brent, Reginald Barlow, Onest Conley, Bruce Cabot, Fay Wray, Gil Perkins, Harry Tenbrook, Louise Emmons, Roscoe Ates, Dorothy Gulliver, Dick Curtis, Ernest B. Schoedsack, Carlotta Monti","Ernest B. Schoedsack, Merian C. Cooper","Edward Linden, Kenneth Peach, J.O. Taylor, Vernon L. Walker","Edgar Wallace, James Ashmore Creelman, Merian C. Cooper, Ruth Rose, Leon Gordon","Ernest B. Schoedsack, Walter Daniels, David O. Selznick, Merian C. Cooper","Max Steiner","7.9","92582.0","/lHlnxKL5GbgRibyRFI7n1Ey850i.jpg"
"245","About a Boy","6.7","2179.0","Released","2002-04-26","129000000.0","101.0","27000000.0","tt0276751","en","About a Boy","Will Freeman is a good-looking, smooth-talking bachelor whose primary goal in life is avoiding any kind of responsibility. But when he invents an imaginary son in order to meet attractive single moms, Will gets a hilarious lesson about life from a bright, but hopelessly geeky 12-year-old named Marcus. Now, as Will struggles to teach Marcus the art of being cool, Marcus teaches Will that you're never too old to grow up.","19.463","Growing up has nothing to do with age.","Drama, Comedy, Romance","Universal Pictures, StudioCanal, Working Title Films, Tribeca Productions, Kalima Productions","France, Germany, United Kingdom, United States of America","English","Cathy Murphy, Denise Stephenson, Fritha Goodey, Annabelle Apsion, Jenny Galloway, Sidney Livingstone, Isabel Brook, Nicholas Hoult, Bethany Muir, Paulette P. Williams, Joanne Petitt, Sian Ejiwunmi-Le Berre, Victoria Smurfit, Aaron Keeling, Madison Cook, Ryan Speechley, Chris Webster, Augustus Prew, Sharon Small, Rosalind Knight, Matthew James Thomas, Alex Kew, Joyce Henderson, Jason Salkey, Susannah Doyle, Nicholas Hutchison, Russell Barr, Natalia Tena, Orlando Thor Newman, Hugh Grant, Murray Lachlan Young, Jordan Cook, Toni Collette, Janine Duvitski, Delma Walsh, Claire Harman, Rachel Weisz, Tessa Vale, Peter Roy, Mark Heap, Joseph Speechley","Paul Weitz, Chris Weitz","Remi Adefarasin","Paul Weitz, Peter Hedges, Nick Hornby, Chris Weitz","Nick Hornby, Robert De Niro, Lynn Harris, Eric Fellner, Brad Epstein, Jane Rosenthal, Tim Bevan","Badly Drawn Boy","7.1","193550.0","/optezspqJjHI9WyC8brY96zbcdt.jpg"
"246","Zatoichi","7.2","846.0","Released","2003-09-06","34196922.0","111.0","2500000.0","tt0363226","ja","座頭市","Blind traveler Zatoichi is a master swordsman and a masseur with a fondness for gambling on dice games. When he arrives in a village torn apart by warring gangs, he sets out to protect the townspeople.","18.893","His sword made him a hero... his courage made him a legend.","Adventure, Drama, Action","Office Kitano, Saito Entertainment, Tokyo FM, Bandai Visual, Celluloid Dreams, dentsu, Miramax, Shochiku","France, Japan","日本語","Ben Hiura, Yoshida Ayano, Shin'ichi Nakatsuka, Al Kitago, Michiyo Yasuda, Yoji Tanaka, Yuko Daike, Takeshi Kitano, Ittoku Kishibe, Daigaku Sekine, Daigorô Tachibana, Kôsuke Ôta, Omiya no Matsu, Saburo Ishikura, Hideboh, Ryouhei Kunieda, Yoshio Nakamura, Muhômatsu, Yui Natsukawa, Tsutomu Takeshige, Hiroaki Noguchi, Yoshiyuki Morishita, Noriyasu, Yasushi Higuchi, Ryûki Kitaoka, Naomasa Musaka, Shoken Kunimoto, Kanji Tsuda, Koji Kiryu, Toru Yonezu, Hisao Ogura, Ikki Goto, Masayoshi Ōzeki, Tadanobu Asano, Ron II, Shinji Asakura, Tsumami Edamame, Taichi Saotome, Gambino Kobayashi, Taigi Kobayashi, Suji, Kenji Takechi, Makoto Ashikawa, Akira Emoto, Guadalcanal Taka, Koji Koike","Takeshi Kitano","Katsumi Yanagijima","Kan Shimozawa, Takeshi Kitano","Takio Yoshida, Masayuki Mori, Tsunehisa Saitô","Keiichi Suzuki","7.4","52079.0","/iCIycswWbX1EDS6PYYBcR9ohrC.jpg"
"247","The Killing","7.7","1512.0","Released","1956-06-06","0.0","85.0","320000.0","tt0049406","en","The Killing","Career criminal Johnny Clay recruits a sharpshooter, a crooked police officer, a bartender and a betting teller named George, among others, for one last job before he goes straight and gets married. But when George tells his restless wife about the scheme to steal millions from the racetrack where he works, she hatches a plot of her own.","10.725","In all its fury and violence...","Crime, Thriller","United Artists, Harris-Kubrick Productions","United States of America","English","Robert B. Williams, Herbert Ellis, Charles Fogel, Tom Coleman, Joe Turkel, John George, Hal J. Moore, Vince Edwards, James Griffith, Dorothy Adams, Mary Carroll, Oliver Cross, Harvey Parry, Ted de Corsia, Marie Windsor, William Benedict, Jay C. Flippen, Sol Gorss, James Edwards, Franklyn Farnum, Jay Adler, Timothy Carey, Carl M. Leviness, Joe Sawyer, Richard Reeves, Elisha Cook Jr., Steve Mitchell, Sterling Hayden, Art Gilmore, Frank Richards, Charles Cane, Kenner G. Kemp, Kola Kwariani, Finn Zirzow, Arthur Tovey, Rudy Germane, Coleen Gray, Tito Vuolo, Harry Hines, Cecil Elliott","Stanley Kubrick","Lucien Ballard","Stanley Kubrick, Lionel White, Jim Thompson","James B. Harris","Gerald Fried","7.9","100229.0","/A6VzUPcADZGYdGHlVdWvpMNDF5d.jpg"
"248","Pocketful of Miracles","7.3","165.0","Released","1961-12-18","5000000.0","136.0","2900000.0","tt0055312","en","Pocketful of Miracles","A New York gangster and his girlfriend attempt to turn street beggar Apple Annie into a society lady when the peddler learns her daughter is marrying royalty.","12.54","You have to see it to belove it!","Comedy, Drama","Franton Production","United States of America","English, Español","Bert Madrid, John Litel, Albert Cavens, Ralph Brooks, Barton MacLane, Doodles Weaver, Kermit Maynard, George Calliga, Arthur O'Connell, Jay Novello, Chester Jones, Harry Swoger, Ann-Margret, Phil Bloom, Bette Davis, Amanda Randolph, Herman Belmonte, Fred Rapport, Jerome Cowan, Hope Lange, Harry Wilson, James Griffith, Peter Hansen, Charles Sullivan, Betty Bronson, Gavin Gordon, Richard Karlan, Ralph Montgomery, Hal Taggart, Ellen Corby, Peter Falk, Sam Bagley, Harry 'Snub' Pollard, Michael Ross, Joe Evans, George Nardelli, Peter Ford, Paul Newlan, Kenner G. Kemp, Billy Nelson, Bert Stevens, Grace Lee Whitney, Joseph Glick, Clark Ross, Nina Borget, Dub Taylor, James J. Casino, Willie Bloom, Stephen Soldi, Don Ames, Scott Seaton, Norman Papson, Sam Harris, Mike Mahoney, Chalky Williams, Willis Bouchey, Glenn Ford, Mike Mazurki, Alphonso DuBois, Edward Everett Horton, Sailor Vincent, Sheldon Leonard, Kate Murtagh, Arthur Tovey, Joe Gray, Paul Micale, Kelly Thordsen, Robert Locke Lorraine, Vito Scotti, Mushy Callahan, Jacqueline deWit, Bess Flowers, Abdullah Abbas, Paul Ravel, Charles Perry, Edgar Stehli, Marc Cavell, Paul Cristo, Stuart Holmes, Fritz Feld, Daniel Nunez, Peter Mann, Leoda Richards, Noble 'Kid' Chissell, Joe McTurk, Dick Wessel, Charles Cirillo, Phil Schumacher, John Lawrence, David Brian, Michael Cirillo, Jack Shea, Byron Foulger, William Meader, Eddie Foster, Mickey Shaughnessy, Benjie Bancroft, Bing Conley, Thomas Mitchell, Benny Rubin, Tom Fadden, Steve Mitchell, Jim Michael, Frank Ferguson, Jack Elam, Jack Gordon, Hayden Rorke, Angelo Rossitto, George E. Stone, Romo Vincent, Paul E. Burns, Josip Elic, Chuck Hamilton","Frank Capra","Robert J. Bronner","Damon Runyon, Hal Kanter, Robert Riskin, Harry Tugend","Frank Capra","Walter Scharf, Jimmy Van Heusen","7.1","8155.0","/xjXwcGJjT5tE22wazQUYH32HwU8.jpg"
"249","The War of the Roses","6.9","1106.0","Released","1989-12-08","160188546.0","116.0","26000000.0","tt0098621","en","The War of the Roses","The Roses, Barbara and Oliver, live happily as a married couple. Then she starts to wonder what life would be like without Oliver, and likes what she sees. Both want to stay in the house, and so they begin a campaign to force each other to leave. In the middle of the fighting is D'Amato, the divorce lawyer. He gets to see how far both will go to get rid of the other, and boy do they go far.","19.299","Once in a lifetime comes a motion picture that makes you feel like falling in love all over again. This is not that movie.","Comedy, Drama","20th Century Fox, Gracie Films","United States of America","English","Eunice Suarez, Shaun Wickers, Sue Palka, Ellen Crawford, Susan Isaacs, G. D. Spradlin, Heather Fairfield, Prince Hughes, Mary Donohue, Catherine Donohue, Danny DeVito, Tony Crane, Robert Harper, Shirley Mitchell, Sean Astin, Jeff Thomas, Michael Adler, Roy Brocksmith, Jacqueline Cassell, Philip Perlman, Rika Hofmann, Marianne Sägebrecht, Dan Castellaneta, Peter Donat, Harlan Arnold, David Wohl, Gloria Cromwell, Bethany McKinney, Lisa Howard, Julia Elliott, Peter Brocco, Morris Jones, Ryan Wickers, Vickilyn Reynolds, Patricia Allison, Kathleen Turner, Michael Douglas, Popeye, Trenton Teigen, Mary Fogarty, Danitra Vance, Peter Hansen","Danny DeVito","Stephen H. Burum","Michael J. Leeson, Warren Adler","James L. Brooks, Doug Claybourne, Arnon Milchan, Polly Platt","David Newman","6.8","58478.0","/k2l2df0XlY58wfr7a3RPJ59qmxl.jpg"
"250","In China They Eat Dogs","7.4","255.0","Released","1999-09-10","0.0","91.0","0.0","tt0180748","da","I Kina spiser de hunde","Arvid is an ordinary bank clerk who lives a rather unassuming life with his dear girlfriend. But his life is turned completely upside down when he bravely manages to avert a robbery against the bank where he works.","10.502","","Action, Comedy, Crime","Steen Herdel Filmproduktion","Denmark","Dansk, Deutsch, English, Srpski","Nikolaj Lie Kaas, Bjarne Slot Christiansen, Kim Bodnia, Peter Gantzler, Preben Harris, Søren Sætter-Lassen, Jonas Schmidt, Slavko Labović, Jesper Christensen, Anna Britt Mathiassen, Nicolai Martin Labovic, Trine Dyrholm, Vasilije Bojičić, Jesper Find, Christina Birksø, Sarko Labovic, Red Warszawa, Emil Øigaard, Erik Holmey, Lasse Lunderskov, Vojkan Fatic, Milutin Gercevic, Tomas Villum Jensen, Niels Brinch, Martin Spang Olsen, Brian Patterson, Line Kruse, Lester Wiese, Dejan Čukić","Lasse Spang Olsen","Morten Søborg","Anders Thomas Jensen","Steen Herdel, Michael Brask","George Keller","7.3","23353.0","/v78NxEyzsElWnwSvGWpvf2DCzP9.jpg"
"251","Ghost","7.218","5498.0","Released","1990-07-13","505000000.0","127.0","22000000.0","tt0099653","en","Ghost","Even though Sam Wheat, the successful investment counsellor, still finds it difficult to express his deeper feelings for her after all these years, his young potter girlfriend, Molly Jensen, is the love of his life. However, a curious case of a systematic discrepancy will prepare the ground for a hideous urban homicide in one of Manhattan's dark alleys, trapping, seemingly forever, the unfortunate deceased's immortal soul in the realm of the mortals. With the condemned spirit unable to interact with the physical world--and as Molly's life, too, is in grave danger--Sam will have to turn to the spiritual medium, Oda Mae Brown, to warn and protect her. Can Oda and the ghost settle the unfinished business in time?","74.851","Before Sam was murdered, he told Molly he'd love and protect her forever.","Fantasy, Drama, Thriller, Mystery, Romance","Paramount Pictures, Howard W. Koch Productions","United States of America","English","Said Faraj, Bruce Jarchow, Tom Finnegan, Christopher J. Keene, Mabel Lockridge, Susan Breslau, Martina Deignan, Derek Thompson, Rick Aviles, William Cort, Arsenio Hall, John Hugh, Vincent Schiavelli, Alma Beltran, Minnie Summers Lindsey, Augie Blunt, Macka Foley, Stephen Root, Vivian Bonnell, Gail Boggs, Armelia McQueen, Phil Leeds, Demi Moore, Angelina Estrada, Charlotte Zucker, Faye Brenner, Sharon Breslau, J. Christopher Sullivan, Laura Drake, Patrick Swayze, Rick Kleber, Dorothy Love Coates, Sam Tsoutsouvas, Sondra Rubin, Thom Curley, Tony Goldwyn, Stanley Lawrence, Whoopi Goldberg","Jerry Zucker","Adam Greenberg","Bruce Joel Rubin","Steven-Charles Jaffe, Lisa Weinstein, Howard W. Koch","Maurice Jarre","7.1","242067.0","/w9RaPHov8oM5cnzeE27isnFMsvS.jpg"
"252","Willy Wonka & the Chocolate Factory","7.5","3562.0","Released","1971-06-29","4000000.0","99.0","3000000.0","tt0067992","en","Willy Wonka & the Chocolate Factory","When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner.","50.96","It's Scrumdidilyumptious!","Family, Fantasy, Comedy","Wolper Pictures","United States of America","Français, English, Italiano, Deutsch","Nora Denney, Jack Latham, Dora Altmann, Ernst Ziegler, Roy Kinnear, Michael Gahr, Shin Hamano, Paris Themmen, Peter Ostrum, Ed Peck, Malcolm Dixon, Pepi Poupee, Angelo Muscat, Julie Dawn Cole, Stephen Dunne, Madeline Stuart, David Battley, Rudy Borgstaller, Leonard Stone, Michael Bollner, Bob Roe, Albert Wilkinson, George Claydon, Tim Brooke-Taylor, Ismed Hassan, Walker Edmiston, Marcus Powell, Gloria Manon, Victor Beaumont, Norman McGlen, Aubrey Woods, Ursula Reit, Frank Delfino, Denise Nickerson, Peter Stuart, Pat Coombs, Günter Meisner, Peter Capell, Gene Wilder, Werner Heyking, Kurt Großkurth, Diana Sowle, Michael Goodliffe, Jack Albertson, Rusty Goffe, Franziska Liebing","Mel Stuart","Arthur Ibbetson","Leslie Bricusse, Roald Dahl, Anthony Newley","David L. Wolper, Stan Margulies","Leslie Bricusse, Walter Scharf","7.8","232617.0","/xL2GISX0MODJfpHrMdLdZF6xWgW.jpg"
"253","Live and Let Die","6.5","2016.0","Released","1973-06-27","126400000.0","121.0","7000000.0","tt0070328","en","Live and Let Die","James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.","39.311","Bond is back. Back in action. Back with excitement.","Adventure, Action, Thriller","EON Productions, United Artists","United Kingdom","English, Magyar","Geoffrey Holder, David Hedison, Michael Ebbin, Roy Stewart, Gabor Vernon, Della McCrae, Ruth Kempf, Yaphet Kotto, Nikki Van der Zyl, Sylvia Kuumba Williams, Clifton James, Madeline Smith, Keith Forte, Dan Jackson, Gloria Hendry, Irvin Allen, Brenda Arnau, Tony Amelchi, Bernard Lee, James Drake, James Langston Drake, Kubi Chaza, Tommy Lane, Joie Chitwood, Roy Hollis, Dennis Edwards, Paul Weston, Arnold Williams, Roger Moore, Vic Armstrong, Alvin Alcorn, Jane Seymour, Robert Dix, Earl Jolly Brown, Jack Cooper, Don Topping, Lois Maxwell, Julius Harris, Lon Satton, Peter Brayham, Stephen Hendrickson, Louis Saint-Juste, Lance Gordon","Guy Hamilton","Ted Moore","Tom Mankiewicz, Ian Fleming","Harry Saltzman, Albert R. Broccoli","George Martin","6.7","117786.0","/39qkrjqMZs6utwNmihVImC3ghas.jpg"
"254","King Kong","6.9","7819.0","Released","2005-12-12","562363449.0","187.0","207000000.0","tt0360717","en","King Kong","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","43.637","The eighth wonder of the world.","Adventure, Drama, Action","Universal Pictures, WingNut Films, Big Primate Pictures, MFPV Film","New Zealand, United States of America, Germany","English","Frank Edwards, Matt Wilson, David Pittu, Latham Gaines, Craig Hall, Chic Littlewood, Geraldine Brophy, Stephen Hall, Ray Woolf, Thomas Kretschmann, Kyle Chandler, Katie Jackson, David Dennis, Peter McKenzie, John Wraight, Lorraine Ashbourne, Will Wallace, Samuel Taylor, Eddie Campbell, William Johnson, Camille Keenan, Adrien Brody, Jim McLarty, Ric Herbert, Colin Hanks, Joe Folau, Evan Parke, Andy Serkis, Greg Smith, Jack Black, Mark Hadlow, Phil Grieve, Michael Lawrence, Jim Knobeloch, Naomi Watts, Lobo Chan, Laura Surrich, John Sumner, Crawford Thomson, Peter Jackson, Tom Hobbs, Lee Donahue, Billy Jackson, Richard Kavanagh, Jamie Bell, Jed Brophy, Pip Mushin, Tiriel Mora","Peter Jackson","Andrew Lesnie","Peter Jackson, Edgar Wallace, Merian C. Cooper, Philippa Boyens, Fran Walsh","Jan Blenkin, Fran Walsh, Carolynne Cunningham, Peter Jackson","Mel Wesson, David Long, James Newton Howard","7.2","453710.0","/6a2HY6UmD7XiDD3NokgaBAXEsD2.jpg"
