"id";"title";"vote_average";"vote_count";"status";"release_date";"revenue";"runtime";"budget";"imdb_id";"original_language";"original_title";"overview";"popularity";"tagline";"genres";"production_companies";"production_countries";"spoken_languages";"cast";"director";"director_of_photography";"writers";"producers";"music_composer";"imdb_rating";"imdb_votes";"poster_path";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Citizen Kane";"8.006";"5497";"Released";"17-04-41";"23218000";"119";"839727";"tt0033467";"en";"Citizen Kane";"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.";"23.937";"Some called him a hero...others called him a heel.";"Mystery, Drama";"Mercury Productions, RKO Radio Pictures";"United States of America";"English";"Harry Burkhardt, John McCormack, Charles Meakin, Russ Powell, Buddy Messinger, Edmund Cobb, George DeNormand, Edward Peil Jr., Harry J. Vejar, Dorothy Cleveland, James T. Mack, Mickey Martin, Frank O'Connor, Olin Francis, Guy Repp, Leda Nicova, William Alston, Jack Gwynne, Herman J. Mankiewicz, Jack Egan, Philip Morris, Bryan 'Slim' Hightower, Juanita Fields, Orson Welles, Finn Zirzow, Louise Currie, John Alban, Lew Harvey, Rudy Germane, George Noisom, Robert Haines, Joan Blair, Herbert Corthell, John Dilson, Robert Dudley, Tudor Williams, Sam Harris, Jack Gargan, Gohr Van Vleck, Walter James, Louis Natheaux, Alan Ladd, Renee Godfrey, Sam Rice, Edith Evanson, Paul Stewart, Georgia Backus, Irving Mitchell, Jack Raymond, Victor Romito, George Coulouris, Arthur Yeoman, Al Eben, Joseph Cotten, Harry A. Bailey, Suzanne Dulier, Maurice Costello, Henry Hebert, Teddy Mangean, J.J. Clark, Frank McLure, Carl Faulkner, Bob Terry, Bert Moorhouse, Tom Coleman, Richard Wilson, Ellen Lowe, Ruth Warrick, Thomas Pogue, Carmen Laroux, Danny Borzage, Larry Williams, Dorothy Comingore, Gene Coogan, Agnes Moorehead, Johnny Eckert, Louise Franklin, Paddy O'Flynn, Edna Mae Jones, Gregg Toland, William Alland, Joseph North, Sonny Bupp, Eddie Dew, Sally Corner, Milton Kibbee, Bud Geary, Shimen Ruskin, Perc Launders, Clyde McAtee, Eddie Coke, Field Norton, George Sherwood, Major McBride, Ludwig Lowry, Walter Sande, Thomas A. Curran, John Northpole, Tom Steele, Art Dupuis, Francis Sayles, Arthur Kay, Don Ackerman, Lillian Nicholson, Suzanne Ridgway, Hercules Mendez, Bert LeBaron, Walter Bacon, Bruce Sidney, Jan Wiley, Cyril Ring, Jimmy Grant, Walter Lawrence, Buck Mack, Jesse Graves, Philip Van Zandt, Gerald Pierce, Carl Deloro, Carl Ekberg, Sam Ash, Mitchell Ingraham, George W. Jimenez, Myrtle Rishell, Lillian O'Malley, Edward Ryan, Everett Sloane, Jolane Reynolds, Buddy Swan, Peter Gowland, Dick Scott, Terrance Ray, Harry Shannon, Mike Lally, William H. O'Brien, Ernest Grooney, Frances E. Neal, Charles Bennett, Gino Corrado, Gus Schilling, Arthur O'Connell, Erskine Sanford, Don Roberts, Jack Curtis, Fortunio Bonanova, Tim Davis, Ray Collins, Larry Wheat, Bert Stevens, Demetrius Alexis, Dona Dax, Morgan Brown, Landers Stevens, Benny Rubin, Roland Winters";"Orson Welles";"Gregg Toland";"Herman J. Mankiewicz, Orson Welles";"Orson Welles";"Bernard Herrmann";"8.3";"474287";"/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Dancer in the Dark";"7.9";"1778";"Released";"01-09-00";"40061153";"140";"12500000";"tt0168629";"en";"Dancer in the Dark";"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.";"19.391";"You don't need eyes to see.";"Drama, Crime";"Zentropa Entertainments, DR, SVT Drama, ARTE, France 3 Cinéma, Blind Spot Pictures, Liberator Productions, Íslenska kvikmyndasamsteypan, Pain Unlimited Filmproduktion, Trust Film Svenska, Cinematograph, What Else?, ARTE France Cinéma, Film i Väst, WDR";"Denmark, Finland, France, Germany, Iceland, Netherlands, Norway, Sweden";"English";"Fredrik Börgesson, Anders Tärneberg, Siobhan Fallon Hogan, Carl Johan De Neergaard, Elin Johansson, Erik Dammann, Andrew Lucre, Claus Berenhard, Mette Berggreen, Annette Lindholm, Bobo Eriksson, Peter Stormare, Anna Rosenberg, Sheldon Litt, Diana G.L. Watson, Catherine Deneuve, Eli Stalhand, David Morse, Birgitte Skands, Lars Michael Dinesen, Stellan Skarsgård, Anthony Ajoise Olufemi Jacob, John Martinus, Udo Kier, Katrine Falkenberg, John Randolph Jones, Vladica Kostic, Joel Grey, Luke Reilly, Sean-Michael Smith, Carol Linda Nielsen, Frederik Mondrup, Alexander Arli, Edvin Karsson, Jean-Marc Barr, Anna David, T.J. Rizzo, Nick Wolf, Timm Zimmermann, Anna Norberg, Erik Drugge, Caroline Sascha Cogez, Eric Voge, Reathel Bean, Cara Seymour, Cristian Valle, Marianne Bengtsson, Emilie Bendz, Anders Thorhauge, Noah Lazarus, Paprika Steen, Bjorn Ahlander, Alex Mouro, Anders-Peter Torsleff Hansen, Allan Gyldenkærne, Ana Christine Broström, Al Agami, Björk, Vincent Paterson, Ed Hickok, Karoliina Heiskanen, Troels Asmussen, Ami Eklöf-Annell, Britt Bendixen, Zeljko Ivanek, Jens Albinus, Michael Flessas, Bo Westerholm, Ann Crosset";"Lars von Trier";"Robby Müller";"Lars von Trier, Sjón";"Vibeke Windeløv, Peter Aalbæk Jensen, Leo Pescarolo";"Björk";"7.9";"118838";"/9rsivF4sWfmBzrNr4LPu6TNJhXX.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"The Dark";"5.8";"265";"Released";"28-09-05";"6593579";"87";"0";"tt0411267";"en";"The Dark";"In an attempt to pull her family together, Adèlle travels with her young daughter Sarah to Wales to visit her father. The morning after they arrive, Sarah mysteriously vanishes in the ocean. Not long after, a little girl bearing a striking resemblance to their missing daughter reveals that she has retuned from the dead  — and that Sarah has been taken to the Welsh underworld.";"12.67";"One of the living for one of the dead.";"Horror, Thriller, Mystery";"Constantin Film, Impact Pictures, Isle of Man Film, UK Film Council";"Germany, United Kingdom";"Cymraeg, English";"Sean Bean, Gwenyth Petty, Robin Griffith, Eluned Jones, Sophie Stuckey, Maurice Roëves, Casper Harvey, Tonya Smith, Abigail Stone, Richard Elfyn, Maria Bello";"John Fawcett";"Christian Sebaldt";"Rory Gilmartin, Stephen Massicotte, Simon Maginn";"Jeremy Bolt, Steve Christian, Robert Kulzer, Paul W. S. Anderson, Paul Tamasy";"Edmund Butt";"5.3";"11558";"/h6gCVAzjFLhzkffv2VZO1RgVCBt.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"The Fifth Element";"7.6";"10657";"Released";"02-05-97";"263920180";"126";"90000000";"tt0119116";"en";"The Fifth Element";"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.";"70.4";"There is no future without it.";"Science Fiction, Action, Adventure";"Gaumont";"France";"English, svenska, Deutsch";"Kristen Fick, Leon Dekker, Julie T. Wallace, John Bluthal, David Garvey, Tricky, Christopher Adamson, Geoff Boothby, Jill Mullan, Kim Chan, Maïwenn, Clifton Lloyd Bryan, Gillian M. Berrow, Tyrone Tyrell, Gito Santana, Roy Garcia Singh, Riz Meedin, Frank Senger, Kevin Molloy, Laura De Palma, Inva Mula, Martin McDougall, Sibyl Buck, Alan Ruscoe, Stanley Kowalski, Paul Priestley, Michael Culkin, Zeta Graff, Cecil Cheng, Carlton Chance, Stewart Harvey-Wilson, Alex Georgijev, Richard Leaf, John Neville, Rachel Willis, Scott Woods, John Bennett, Ian Holm, David Barrass, Hon Ping Tang, Charlie Creed-Miles, Richard Ashton, Lee Evans, Marie Guillard, Gin Clarke, Nathan Hamlett, Colin Brooks, Kamay Lau, Grant James, Omar Hibbert Williams, Anita Koh, David Kennedy, Patrick Nicholls, Kevin Brewerton, Tommy Lister Jr., Ali Yassine, Fred Williams, Aron Paramor, Ian Beckett, Genevieve Maylam, Fred Wood, Jerome St. John Blake, Brion James, Christopher Fairbank, Robert Alexander, Jerry Ezekiel, Mathieu Kassovitz, Al Matthews, Milla Jovovich, Justin Lee Burrows, Vincenzo Pellegrino, Sonita Henry, Sonny Caldinez, Eddie Ellwood, Nicole Merry, Dane Messam, Derek Ezenagu, Peter Dunwell, Stacey McKenzie, Robert Oates, John Sharian, Indra Ové, George Khan, Said Talidi, Robert Clapperton, Ivan Heng, Vladimir McCrary, Josie Perez, Gary Oldman, Yui, Joss Skottowe, Roberto Bryce, John Hughes, Mark Seaton, J.D. Dawodu, Leo Williams, Jean-Luc Caron, Shaun Davis, Chris Tucker, Kaleem Janjua, Sean Buckley, Mac McDonald, Sam Douglas, Ève Salvail, Mia Frye, Stina Richardson, Sophia Goth, Luke Perry, C. Keith Martin, Tracy Redington, Tim McMullan, Bruce Willis, Jason Salkey, David Fishley, Renee Montemayor, Sarah Carrington, Natasha Brice, François Guillaume, Roger Monk, Lenny McLean, Anthony Chinn, Roger Wright, Bill Reimbold";"Luc Besson";"Nick Tebbet, Thierry Arbogast";"Luc Besson, Robert Mark Kamen";"Patrice Ledoux";"Éric Serra";"7.6";"518073";"/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Metropolis";"8.1";"2742";"Released";"06-02-27";"1350322";"148";"5300000";"tt0017136";"de";"Metropolis";"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.";"27.442";"There can be no understanding between the hands and the brain unless the heart acts as mediator.";"Drama, Science Fiction";"UFA";"Germany";"No Language";"Fritz Rasp, Gottfried Huppertz, Erwin Biswanger, Georg John, Arthur Reinhardt, Helen von Münchofen, Hanns Leo Reich, Grete Berger, Olly Boeheim, Brigitte Helm, Henrietta Siodmak, Rudolf Klein-Rogge, Helene Weigel, Gustav Fröhlich, Heinrich Gotho, Heinrich George, Rolf von Goth, Theodor Loos, Alfred Abel, Olaf Storm, Curt Siodmak, Rose Lichtenstein, Margarete Lanner, Fritz Alberti";"Fritz Lang";"Walter Ruttmann, Günther Rittau, Karl Freund";"Thea von Harbou, Fritz Lang";"Erich Pommer";"Gottfried Huppertz, Otto Harzner";"8.3";"190307";"/vZIJxGnjcswPCAa52jhbl01FQkV.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"My Life Without Me";"6";"457";"Released";"07-03-03";"12300000";"106";"2500000";"tt0314412";"en";"My Life Without Me";"A fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.";"15.022";"What you are… is what you leave behind.";"Drama, Romance";"El Deseo, Milestone Productions";"Canada, Spain";"English";"Amanda Plummer, Julian Richings, Maria de Medeiros, Esther García, Leonor Watling, Scott Speedman, Kenya Jo Kennedy, Debbie Harry, Alfred Molina, Camille Martinez, Sarah Polley, Mark Ruffalo, Jessica Amlee";"Isabel Coixet";"Jean-Claude Larrieu";"Isabel Coixet, Nanci Kincaid";"Gordon McLennan, Ogden Gavanski, Esther García, Agustín Almodóvar, Pedro Almodóvar";"Alfonso Vilallonga";"7.4";"26063";"/pFEtVPW88pWflYV84UFL0h1iJr3.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"The Endless Summer";"7.211";"114";"Released";"15-06-66";"0";"91";"50000";"tt0060371";"en";"The Endless Summer";"Bruce Brown's The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer.";"7.768";"The Search for the Perfect Wave!";"Documentary";"Bruce Brown Films";"United States of America";"English";"Wayne Miyata, Robert August, Chuck Gardner, Lord James Blears, Chip Fitzwater, Michael Hynson, Bruce Brown";"Bruce Brown";"Bruce Brown";"Bruce Brown";"Robert Bagley, Bruce Brown";"Walter Georis, Gaston Georis, John Blakeley";"7.6";"6452";"/5W5uaqQ7NZTwoDMKO4AtdcahHex.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Pirates of the Caribbean: The Curse of the Black Pearl";"7.8";"20598";"Released";"09-07-03";"655011224";"143";"140000000";"tt0325980";"en";"Pirates of the Caribbean: The Curse of the Black Pearl";"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.";"112.638";"Prepare to be blown out of the water.";"Adventure, Fantasy, Action";"Walt Disney Pictures, Jerry Bruckheimer Films";"United States of America";"English";"Mackenzie Crook, Damian O'Hare, Ian McIntyre, Geoffrey Rush, Don LaDaga, Trevor Goddard, Gregory Ryan Alosio, Mike Babcock, Treva Etienne, Christopher S. Capp, Vanessa Branch, Jonathan Pryce, Gerard J. Reyes, Tommy Schooler, Fred Toft, José Zelaya, Lauren Maher, Orlando Bloom, Owen Finnegan, Rudolph McCollum, Lee Arenberg, Israel Aduramo, Keira Knightley, Angus Barnett, LeJon Stewart, Christopher Sullivan, Joe Grisaffi, Martin Klebba, Paula J. Newman, Dylan Smith, Kevin McNally, Paul Keith, D.P. FitzGerald, Luke de Woolfson, Michael Earl Lane, Tobias McKinney, Craig Thomson, Paul Gagné, Antonio Valentino, Vince Lozano, Jerry Gauny, Ben Wilson, Christian Martin, Johnny Depp, Ben Roberts, Lucinda Dryzek, Isaac C. Singleton Jr., Dustin Seavey, David Patykewich, Finneus Egan, Michael W. Williams, Michael Sean Tighe, M. Scott Shields, Michael Berry Jr., Mike Haberecht, Tamara Castle, David Bailie, Guy Siner, Jack Davenport, Ralph P. Martin, Zoe Saldaña, Félix Castro, Brye Cooper, Sam Roberts, Michael A. Thompson, Maxie J. Santillan Jr., James McAuley, Giles New, Matthew Bowyer, Jordi Caballero, Greg Ellis";"Gore Verbinski";"Dariusz Wolski";"Terry Rossio, Stuart Beattie, Jay Wolpert, Ted Elliott";"Mike Stenson, Bruce Hendricks, Paul Deason, Chad Oman, Jerry Bruckheimer";"Klaus Badelt";"8.1";"1240070";"/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Kill Bill: Vol. 1";"7.97";"17359";"Released";"10-10-03";"180906076";"111";"30000000";"tt0266697";"en";"Kill Bill: Vol. 1";"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.";"93.288";"A roaring rampage of revenge.";"Action, Crime";"Miramax, A Band Apart, Super Cool ManChu";"United States of America";"English, 日本語, Français";"Michael Madsen, Shun Sugata, Sō Yamanaka, Yuki Kazamatsuri, Julie Dreyfus, Yoshiyuki Morishita, Ambrosia Kelley, James Parks, Shu Lan Tuan, Uma Thurman, Kenji Ohba, Juri Manase, Sakichi Sato, Hikaru Midorikawa, Yoji Tanaka, Vivica A. Fox, Issey Takahashi, Hu Xiaohui, Zhang Jinzhan, Michael Parks, Akaji Maro, Sachiko Fujii, Naomi Kusumi, Lucy Liu, Sonny Chiba, Michael Bowen, Jonathan Loughran, Gordon Liu Chia-hui, Ai Maeda, Daryl Hannah, Jun Kunimura, Yoshiko Yamaguchi, Chiaki Kuriyama, David Carradine, Kazuki Kitamura, Goro Daimon, Ronnie Yoshiko Fujiyama, Tetsuro Shimaguchi";"Quentin Tarantino";"Robert Richardson";"Quentin Tarantino, Uma Thurman";"Katsuji Morishita, Lawrence Bender, Bob Weinstein, Mitsuhisa Ishikawa, Harvey Weinstein, E. Bennett Walsh, Erica Steinberg";"RZA";"8.2";"1224446";"/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Jarhead";"6.7";"2851";"Released";"04-11-05";"97076152";"123";"72000000";"tt0418763";"en";"Jarhead";"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.";"28.3";"Welcome to the suck.";"Drama, War";"Red Wagon Entertainment, Neal Street Productions";"United Kingdom, United States of America";"English, Español, العربية, Latin";"Riad Galayini, Katherine Randolph, Jocko Sims, Brianne Davis, Chris Cooper, Todd Jensen, Nick Dash, Laz Alonso, Jacob Vargas, Scott MacDonald, Evan Jones, Iván Fenyő, Brian Geraghty, Craig Coyne, Rini Bell, Mark Davis, Kevin Foster, Becky Boxer, Kareem J. Grimes, Peter Sarsgaard, James Morrison, Lucas Black, Jake Gyllenhaal, Ming Lo, Dendrie Taylor, Jamie Foxx, Dennis Haysbert, Damion Poitier, John Krasinski, Martin Papazian";"Sam Mendes";"Roger Deakins";"William Broyles Jr., Sam Chouia, Anthony Swofford";"Lucy Fisher, Douglas Wick, Bobby Cohen, Sam Mercer";"Thomas Newman";"7";"212081";"/4rCzaZy5Qkvxh5xaVpHriXSLTgC.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Walk on Water";"6.941";"85";"Released";"05-02-04";"444";"103";"1400000";"tt0352994";"he";"LaLehet Al HaMayim";"Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country, during which Axel challenges Eyal's values.";"11.494";"He was trained to hate until he met the enemy.";"Drama";"Lama Films, United King Films";"Israel, Sweden";"English, العربية, עִבְרִית, Deutsch, Türkçe, Italiano";"Ernest Lenart, Hanns Zischler, Caroline Peters, Carola Regnier, Knut Berger, Lior Ashkenazi, Gideon Shemer";"Eytan Fox";"Tobias Hochstein";"Gal Uchovsky";"Gal Uchovsky, Amir Harel";"Ivri Lider";"7.3";"7107";"/mVWFN3RaBFLuJRtRLPebatX9qPq.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"9 Songs";"5.6";"506";"Released";"16-07-04";"1574623";"69";"1000000";"tt0411705";"en";"9 Songs";"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.";"27.46";"2 lovers, one summer, and the 9 songs that defined them.";"Drama, Music, Romance";"Revolution Films";"United Kingdom";"English";"Guy Garvey, Gruff Rhys, Robert Levon Been, Jason Stollsteimer, Marcie Bolen, Bobby Gillespie, Courtney Taylor-Taylor, Michael Nyman, Alex Kapranos, Kieran O'Brien, Margo Stilley, Peter Hayes";"Michael Winterbottom";"Marcel Zyskind";"Michael Winterbottom";"Michael Winterbottom, Andrew Eaton";"";"4.8";"24410";"/91O7z0vo7MiNWd5xD2BoivwbQsb.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Apocalypse Now";"8.3";"8210";"Released";"15-08-79";"150000000";"147";"31500000";"tt0078788";"en";"Apocalypse Now";"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, \"does not exist, nor will it ever exist.\" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.";"55.577";"This is the end...";"Drama, War";"United Artists, American Zoetrope";"United States of America";", English, Français, Tiếng Việt";"Colleen Camp, Kerry Rossall, Frank Villard, Linda Carpenter, Jack Thibeau, Cynthia Wood, Nick Nicholson, Dennis Hopper, Charles Robinson, Jim Gaines, Frederic Forrest, Scott Glenn, R. Lee Ermey, Robert Duvall, Evan A. Lottman, Albert Hall, Vittorio Storaro, Marlon Brando, Aurore Clément, Henry Strzalkowski, Jerry Ziesmer, G. D. Spradlin, Don Gordon Bell, Herb Rice, Martin Sheen, Damien Leake, Joe Estevez, Harrison Ford, Marc Coppola, James Keane, Bill Graham, Jerry Ross, Bo Byers, Francis Ford Coppola, Glenn Walken, Sam Bottoms, Tom Mason, Laurence Fishburne";"Francis Ford Coppola";"Vittorio Storaro";"Michael Herr, Joseph Conrad, John Milius, Francis Ford Coppola";"Francis Ford Coppola";"Francis Ford Coppola, Carmine Coppola";"8.4";"726511";"/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Unforgiven";"7.914";"4385";"Released";"07-08-92";"159157447";"130";"14400000";"tt0105695";"en";"Unforgiven";"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.";"41.176";"Some legends will never be forgotten. Some wrongs can never be forgiven.";"Western";"Warner Bros. Pictures, Malpaso Productions";"United States of America";"English";"Frances Fisher, David Mucci, Garner Butler, Tara Frederick, Morgan Freeman, Robert Koons, Beverley Elliott, William Davidson, James Herman, Philip Maurice Hayes, Paul Anthony McLean, Saul Rubinek, Henry Kope, John Pyper-Ferguson, Jaimz Woolvett, Anna Thomson, Larry Reese, Frank C. Turner, Sam Karas, Michael Charrois, Larry Joshua, Rob Campbell, Richard Harris, Jefferson Mappin, Liisa Repo-Martell, Ron White, Josie Smith, Anthony James, Greg Goossen, Aline Levasseur, Cherrilene Cardinal, Mina E. Mina, Michael Maurer, Gene Hackman, Lochlyn Munro, Jeremy Ratchford, Blair Haynes, Shane Meier, Ben Cardinal, George Orrison, Walter Marsh, Clint Eastwood";"Clint Eastwood";"Jack N. Green";"David Webb Peoples";"David Valdes, Clint Eastwood";"Lennie Niehaus";"8.2";"444847";"/54roTwbX9fltg85zjsmrooXAs12.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
